 * Running on http://0.0.0.0:5999/ (Press CTRL+C to quit)
127.0.0.1 - - [01/Apr/2017 11:21:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:21:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:21:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:21:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:21:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:21:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:22:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:22:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:22:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:22:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:22:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:22:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:23:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:23:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:23:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:23:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:23:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:23:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:24:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:24:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:24:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:24:31] "GET / HTTP/1.1" 200 -
